Citizenship,Number,of which male,of which female,of which children (unaccompanied minors included),of which unaccompanied minors *1
Total:,162877,114728.0,48149.0,70384.0,35369.0
SYRIEN,51338,32994.0,18344.0,17596.0,3777.0
AFGHANISTAN,41564,34251.0,7313.0,30080.0,23480.0
IRAK,20857,15152.0,5705.0,6103.0,1097.0
STATSLÖS,7711,4622.0,3089.0,2729.0,530.0
ERITREA,7231,4715.0,2516.0,2715.0,1939.0
SOMALIA,5465,3571.0,1894.0,2591.0,2058.0
IRAN,4560,3275.0,1285.0,866.0,166.0
ALBANIEN,2615,1789.0,826.0,848.0,208.0
KOSOVO,1779,1153.0,626.0,534.0,22.0
ETIOPIEN,1715,1242.0,473.0,1005.0,891.0
UKRAINA,1405,856.0,549.0,332.0,17.0
MONGOLIET,1152,546.0,606.0,295.0,11.0
SERBIEN,1053,570.0,483.0,396.0,18.0
UNDER UTREDNING,918,578.0,340.0,462.0,139.0
MAROCKO,906,820.0,86.0,432.0,403.0
GEORGIEN,891,652.0,239.0,139.0,2.0
LIBANON,829,540.0,289.0,215.0,22.0
RYSSLAND,658,373.0,285.0,248.0,9.0
PAKISTAN,545,421.0,124.0,142.0,44.0
BOSNIEN OCH HERCEGOVINA,541,305.0,236.0,191.0,7.0
SUDAN,495,423.0,72.0,105.0,36.0
NIGERIA,466,313.0,153.0,124.0,15.0
MAKEDONIEN,464,251.0,213.0,169.0,13.0
JEMEN,442,265.0,177.0,153.0,38.0
AZERBAJDZJAN,440,263.0,177.0,142.0,6.0
ALGERIET,421,396.0,25.0,116.0,102.0
STATEN PALESTINA,418,275.0,143.0,150.0,21.0
LIBYEN,394,351.0,43.0,89.0,48.0
EGYPTEN,387,291.0,96.0,95.0,10.0
UZBEKISTAN,350,226.0,124.0,78.0,5.0
BANGLADESH,343,302.0,41.0,62.0,30.0
OKÄNT,317,196.0,121.0,131.0,16.0
ARMENIEN,305,166.0,139.0,106.0,8.0
JORDANIEN,277,157.0,120.0,78.0,4.0
KAZAKSTAN,260,143.0,117.0,92.0,4.0
VITRYSSLAND,253,189.0,64.0,25.0,2.0
TURKIET,253,165.0,88.0,58.0,4.0
TUNISIEN,210,187.0,23.0,21.0,11.0
GAMBIA,178,153.0,25.0,37.0,29.0
EL SALVADOR,162,97.0,65.0,44.0,0.0
KIRGIZISTAN,155,113.0,42.0,26.0,0.0
KUWAIT,143,99.0,44.0,58.0,13.0
MONTENEGRO,126,72.0,54.0,48.0,4.0
UGANDA,114,59.0,55.0,20.0,6.0
TADZJIKISTAN,91,60.0,31.0,29.0,2.0
INDIEN,88,66.0,22.0,17.0,4.0
BURUNDI,73,44.0,29.0,16.0,5.0
GHANA,73,62.0,11.0,16.0,6.0
KINA,68,32.0,36.0,13.0,3.0
NEPAL,68,42.0,26.0,12.0,5.0
KENYA,65,32.0,33.0,15.0,1.0
KAMERUN,62,44.0,18.0,2.0,1.0
GUINEA,56,47.0,9.0,15.0,9.0
SENEGAL,47,41.0,6.0,10.0,8.0
KUBA,45,31.0,14.0,3.0,0.0
DEM REPUBLIKEN KONGO,44,18.0,26.0,10.0,1.0
ISRAEL,41,22.0,19.0,21.0,0.0
KONGO,40,23.0,17.0,14.0,2.0
TANZANIA,39,26.0,13.0,5.0,1.0
DJIBOUTI,38,21.0,17.0,8.0,0.0
ELFENBENSKUSTEN,38,29.0,9.0,9.0,5.0
MOLDAVIEN,37,25.0,12.0,10.0,2.0
SIERRA LEONE,37,22.0,15.0,12.0,6.0
SAUDIARABIEN,35,20.0,15.0,10.0,4.0
RUMÄNIEN,32,21.0,11.0,6.0,1.0
USA,30,14.0,16.0,18.0,1.0
SRI LANKA,29,17.0,12.0,8.0,1.0
MALI,28,27.0,1.0,4.0,4.0
VENEZUELA,28,16.0,12.0,5.0,2.0
BOLIVIA,27,17.0,10.0,8.0,1.0
VIETNAM,26,16.0,10.0,7.0,1.0
TCHAD,25,23.0,2.0,9.0,6.0
FILIPPINERNA,25,10.0,15.0,9.0,2.0
COLOMBIA,21,10.0,11.0,5.0,1.0
CHILE,21,11.0,10.0,6.0,1.0
RWANDA,20,13.0,7.0,3.0,0.0
NICARAGUA,20,13.0,7.0,4.0,0.0
ANGOLA,18,12.0,6.0,8.0,0.0
GUINEA BISSAU,14,13.0,1.0,1.0,1.0
INDONESIEN,13,9.0,4.0,5.0,0.0
MAURETANIEN,13,13.0,0.0,3.0,3.0
ZAMBIA,13,8.0,5.0,3.0,0.0
BRASILIEN,12,7.0,5.0,4.0,1.0
HONDURAS,12,8.0,4.0,2.0,0.0
KROATIEN,12,10.0,2.0,5.0,0.0
LIBERIA,12,11.0,1.0,2.0,2.0
THAILAND,12,2.0,10.0,4.0,0.0
MEXICO,11,8.0,3.0,1.0,1.0
