county,municipality,0-17,of_which_unaccompanied_minors,18-19,of_which_unaccompanied_minors.1,20-64,of_which_unaccompanied_minors.2,>64,of_which_unaccompanied_minors.3,total,of_which_unaccompanied_minors.4
BLEKINGE LÄN,KARLSHAMN,106.0,9.0,7.0,3.0,129.0,0.0,3.0,0.0,245.0,12.0
,KARLSKRONA,183.0,10.0,9.0,3.0,239.0,0.0,4.0,0.0,435.0,13.0
,OLOFSTRÖM,128.0,10.0,12.0,3.0,113.0,0.0,0.0,0.0,253.0,13.0
,RONNEBY,283.0,11.0,18.0,5.0,299.0,1.0,2.0,0.0,602.0,17.0
,SÖLVESBORG,52.0,4.0,5.0,1.0,62.0,1.0,2.0,0.0,121.0,6.0
BLEKINGE LÄN,Delsumma,752.0,44.0,51.0,15.0,842.0,2.0,11.0,0.0,1656.0,61.0
DALARNAS LÄN,AVESTA,206.0,16.0,28.0,4.0,487.0,2.0,4.0,0.0,725.0,22.0
,BORLÄNGE,176.0,29.0,13.0,5.0,244.0,2.0,1.0,0.0,434.0,36.0
,FALUN,72.0,11.0,12.0,3.0,107.0,2.0,4.0,0.0,195.0,16.0
,GAGNEF,15.0,9.0,2.0,1.0,8.0,0.0,1.0,0.0,26.0,10.0
,HEDEMORA,103.0,18.0,5.0,1.0,139.0,2.0,2.0,0.0,249.0,21.0
,LEKSAND,28.0,3.0,2.0,1.0,35.0,1.0,0.0,0.0,65.0,5.0
,LUDVIKA,83.0,16.0,11.0,4.0,224.0,0.0,1.0,0.0,319.0,20.0
,MALUNG-SÄLEN,11.0,5.0,1.0,1.0,24.0,0.0,0.0,0.0,36.0,6.0
,MORA,19.0,6.0,1.0,1.0,18.0,0.0,0.0,0.0,38.0,7.0
,ORSA,26.0,10.0,5.0,0.0,16.0,0.0,0.0,0.0,47.0,10.0
,RÄTTVIK,7.0,5.0,0.0,0.0,17.0,1.0,1.0,0.0,25.0,6.0
,SMEDJEBACKEN,22.0,2.0,0.0,0.0,29.0,1.0,0.0,0.0,51.0,3.0
,SÄTER,7.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0,15.0,6.0
,VANSBRO,32.0,17.0,2.0,1.0,15.0,1.0,2.0,0.0,51.0,19.0
,ÄLVDALEN,15.0,7.0,1.0,1.0,12.0,2.0,0.0,0.0,28.0,10.0
