county,citizenship,Kvotflykting,of_which_unaccompanied_minors,Ordnat,of_which_unaccompanied_minors.1,Eget,of_which_unaccompanied_minors.2,Övriga,of_which_unaccompanied_minors.3,Anhöriga,of_which_unaccompanied_minors.4,total,of_which_unaccompanied_minors.5
BLEKINGE LÄN,AFGHANISTAN,0.0,0.0,14.0,13.0,21.0,0.0,0.0,0.0,31.0,0.0,66.0,13.0
,ALGERIET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
,ARMENIEN,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0
,EGYPTEN,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
,ERITREA,0.0,0.0,7.0,7.0,16.0,0.0,1.0,0.0,6.0,0.0,30.0,7.0
,ETIOPIEN,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,1.0
,GEORGIEN,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0
,GREKLAND,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
,IRAK,0.0,0.0,2.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0
,IRAN,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0
,JORDANIEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
,KAMERUN,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
,KOSOVO,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
,LIBANON,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
,LIBYEN,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
,MAKEDONIEN,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
,MAROCKO,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
,NIGERIA,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
,OKÄNT,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
,RUMÄNIEN,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
,RWANDA,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
,RYSSLAND,0.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,11.0,0.0
,SERBIEN,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
,SIERRA LEONE,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
,SOMALIA,1.0,0.0,4.0,4.0,9.0,1.0,0.0,0.0,26.0,0.0,40.0,5.0
,STATEN PALESTINA,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0
,STATSLÖS,0.0,0.0,4.0,1.0,126.0,8.0,4.0,0.0,51.0,0.0,185.0,9.0
,SUDAN,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0
,SYRIEN,1.0,0.0,62.0,4.0,606.0,16.0,21.0,2.0,532.0,0.0,1222.0,22.0
,TURKIET,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
,UKRAINA,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0
BLEKINGE LÄN,Delsumma,2.0,0.0,105.0,31.0,866.0,28.0,31.0,2.0,652.0,0.0,1656.0,61.0
DALARNAS LÄN,AFGHANISTAN,14.0,0.0,48.0,46.0,25.0,12.0,0.0,0.0,30.0,0.0,117.0,58.0
,ALBANIEN,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
,ARMENIEN,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
,AZERBAJDZJAN,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
,BURUNDI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
,COLOMBIA,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
,DEM REPUBLIKEN KONGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
,DJIBOUTI,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
,EGYPTEN,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
,ERITREA,1.0,0.0,133.0,46.0,568.0,15.0,7.0,0.0,24.0,0.0,733.0,61.0
