county,AFGHANISTAN,ALGERIET,ARMENIEN,EGYPTEN,ERITREA,ETIOPIEN,GEORGIEN,GREKLAND,IRAK,IRAN,JORDANIEN,KAMERUN,KOSOVO,LIBANON,LIBYEN,MAKEDONIEN,MAROCKO,NIGERIA,OKÄNT,RUMÄNIEN,RWANDA,RYSSLAND,SERBIEN,SIERRA LEONE,SOMALIA,STATEN PALESTINA,STATSLÖS,SUDAN,SYRIEN,TURKIET,UKRAINA,ALBANIEN,AZERBAJDZJAN,BURUNDI,COLOMBIA,DEM REPUBLIKEN KONGO,DJIBOUTI,FILIPPINERNA,GAMBIA,GUINEA,JEMEN,KAZAKSTAN,KINA,NEDERLÄNDERNA,POLEN,SAUDIARABIEN,UGANDA,UNDER UTREDNING,ECUADOR,GHANA,KIRGIZISTAN,KUBA,PAKISTAN,SENEGAL,TUNISIEN,UZBEKISTAN,VENEZUELA,VITRYSSLAND,ELFENBENSKUSTEN,MAURETANIEN,MONGOLIET,USA,BULGARIEN,CHILE,EL SALVADOR,KENYA,VIETNAM,ZIMBABWE,BANGLADESH,BOSNIEN OCH HERCEGOVINA,ISRAEL,INDIEN,KONGO,BURMA,KANADA,MALI,MOLDAVIEN,TANZANIA,AUSTRALIEN,BAHRAIN,JAMAICA,NEPAL,PORTUGAL,SRI LANKA,SYDSUDAN,TADZJIKISTAN,THAILAND,BOLIVIA,BRASILIEN,LIBERIA,NICARAGUA,NORDKOREA,PERU,STORBRITANNIEN,SWAZILAND,TCHAD,TURKMENISTAN,TYSKLAND,URUGUAY,ZAMBIA,LITAUEN,MALAYSIA,UNGERN,CENTRALAFRIKANSKA REPUBLIKEN,HONDURAS,BELGIEN,BURKINA FASO
BLEKINGE LÄN,66.0,1.0,10.0,2.0,30.0,4.0,5.0,4.0,11.0,5.0,1.0,1.0,5.0,4.0,4.0,7.0,3.0,5.0,2.0,1.0,2.0,11.0,4.0,1.0,40.0,10.0,185.0,3.0,1222.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DALARNAS LÄN,117.0,0.0,4.0,4.0,733.0,18.0,2.0,3.0,32.0,10.0,4.0,0.0,0.0,5.0,1.0,0.0,0.0,6.0,3.0,0.0,0.0,12.0,1.0,0.0,170.0,18.0,192.0,2.0,912.0,0.0,1.0,2.0,8.0,1.0,9.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,5.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOTLANDS LÄN,14.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,9.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GÄVLEBORGS LÄN,87.0,0.0,5.0,1.0,991.0,40.0,0.0,0.0,22.0,19.0,2.0,0.0,3.0,0.0,1.0,3.0,1.0,2.0,2.0,1.0,0.0,9.0,0.0,0.0,113.0,6.0,187.0,9.0,988.0,10.0,4.0,11.0,5.0,3.0,10.0,47.0,1.0,0.0,3.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,10.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HALLANDS LÄN,24.0,0.0,1.0,2.0,67.0,11.0,0.0,0.0,15.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,42.0,13.0,245.0,0.0,1194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JÄMTLANDS LÄN,118.0,0.0,0.0,0.0,377.0,5.0,0.0,0.0,6.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,65.0,0.0,45.0,8.0,314.0,0.0,2.0,0.0,0.0,0.0,10.0,21.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JÖNKÖPINGS LÄN,138.0,0.0,10.0,2.0,258.0,5.0,1.0,1.0,40.0,7.0,6.0,0.0,13.0,4.0,1.0,0.0,2.0,10.0,8.0,0.0,6.0,12.0,0.0,0.0,130.0,5.0,247.0,6.0,1637.0,1.0,7.0,2.0,2.0,0.0,10.0,15.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KALMAR LÄN,106.0,0.0,8.0,0.0,198.0,8.0,0.0,1.0,4.0,8.0,7.0,0.0,1.0,6.0,0.0,3.0,3.0,1.0,2.0,5.0,0.0,11.0,1.0,0.0,52.0,28.0,302.0,4.0,1451.0,0.0,11.0,0.0,0.0,1.0,11.0,28.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,5.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRONOBERGS LÄN,133.0,0.0,3.0,0.0,177.0,7.0,5.0,0.0,17.0,10.0,4.0,0.0,9.0,2.0,0.0,1.0,0.0,9.0,4.0,5.0,0.0,44.0,0.0,0.0,120.0,9.0,213.0,3.0,827.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORRBOTTENS LÄN,179.0,0.0,0.0,0.0,226.0,16.0,0.0,0.0,5.0,5.0,8.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,138.0,2.0,17.0,4.0,190.0,0.0,0.0,6.0,0.0,1.0,5.0,10.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,5.0,1.0,0.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKÅNE LÄN,398.0,4.0,1.0,6.0,297.0,37.0,4.0,0.0,180.0,72.0,20.0,6.0,28.0,16.0,5.0,3.0,14.0,21.0,6.0,1.0,0.0,29.0,4.0,1.0,167.0,31.0,1243.0,9.0,3446.0,1.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,13.0,0.0,1.0,0.0,0.0,1.0,16.0,5.0,0.0,2.0,1.0,0.0,12.0,0.0,4.0,3.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STOCKHOLMS LÄN,472.0,3.0,18.0,37.0,911.0,65.0,0.0,0.0,271.0,101.0,16.0,1.0,2.0,19.0,8.0,6.0,7.0,33.0,10.0,0.0,1.0,37.0,9.0,4.0,341.0,19.0,245.0,3.0,3081.0,1.0,5.0,18.0,27.0,0.0,4.0,28.0,7.0,6.0,6.0,3.0,21.0,26.0,11.0,0.0,0.0,1.0,29.0,3.0,1.0,2.0,14.0,2.0,24.0,3.0,1.0,55.0,0.0,6.0,0.0,0.0,38.0,2.0,0.0,1.0,8.0,9.0,0.0,0.0,26.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SÖDERMANLANDS LÄN,59.0,0.0,9.0,1.0,528.0,14.0,0.0,0.0,32.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,6.0,0.0,1.0,5.0,20.0,0.0,190.0,7.0,137.0,4.0,1107.0,0.0,4.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
UPPSALA LÄN,144.0,0.0,0.0,0.0,170.0,19.0,1.0,0.0,15.0,29.0,4.0,0.0,9.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,63.0,24.0,237.0,3.0,489.0,4.0,1.0,0.0,3.0,0.0,3.0,17.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VÄRMLANDS LÄN,78.0,1.0,8.0,3.0,253.0,9.0,0.0,0.0,4.0,1.0,2.0,5.0,9.0,6.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,5.0,1.0,117.0,9.0,190.0,0.0,1059.0,0.0,8.0,0.0,6.0,1.0,0.0,20.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
VÄSTERBOTTENS LÄN,178.0,0.0,0.0,0.0,287.0,41.0,0.0,0.0,12.0,15.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,2.0,0.0,1.0,4.0,1.0,0.0,156.0,3.0,29.0,0.0,193.0,0.0,0.0,0.0,5.0,7.0,2.0,51.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
VÄSTERNORRLANDS LÄN,83.0,0.0,1.0,1.0,687.0,39.0,0.0,0.0,18.0,26.0,3.0,5.0,0.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,5.0,0.0,0.0,1.0,88.0,10.0,111.0,12.0,614.0,0.0,4.0,5.0,4.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
