code,municipality,percent,received,total,domID
0114,UPPLANDS VÄSBY,0.00389114179227,166.0,42661,SE-ST-UV
0115,VALLENTUNA,0.000339715873996,11.0,32380,SE-ST-VL
0117,ÖSTERÅKER,0.00175646807501,74.0,42130,SE-ST-OS
0120,VÄRMDÖ,0.00121633785,50.0,41107,SE-ST-VR
0123,JÄRFÄLLA,0.00443192643831,321.0,72429,SE-ST-JA
0125,EKERÖ,0.00126000592944,34.0,26984,SE-ST-EK
0126,HUDDINGE,0.00322853263192,340.0,105311,SE-ST-HU
0127,BOTKYRKA,0.0049203242941,440.0,89425,SE-ST-BO
0128,SALEM,0.00420065749422,69.0,16426,SE-ST-SA
0136,HANINGE,0.00196742422436,165.0,83866,SE-ST-HA
0138,TYRESÖ,0.00162418520042,75.0,46177,SE-ST-TY
0139,UPPLANDS-BRO,0.00352863624026,91.0,25789,SE-ST-UB
0140,NYKVARN,0.00245290423862,25.0,10192,SE-ST-NV
0160,TÄBY,0.00125950117895,86.0,68281,SE-ST-TA
0162,DANDERYD,0.0019431849727,63.0,32421,SE-ST-DA
0163,SOLLENTUNA,0.00281846521758,198.0,70251,SE-ST-SL
0180,STOCKHOLM,0.00225984173528,2087.0,923516,SE-ST-ST
0181,SÖDERTÄLJE,0.00983884465999,917.0,93202,SE-ST-SD
0182,NACKA,0.00137774784153,135.0,97986,SE-ST-NA
0183,SUNDBYBERG,0.00548687920191,253.0,46110,SE-ST-SU
0184,SOLNA,0.00127366790094,97.0,76158,SE-ST-SN
0186,LIDINGÖ,0.00129584035247,60.0,46302,SE-ST-LI
0187,VAXHOLM,0.000351493848858,4.0,11380,SE-ST-VX
0188,NORRTÄLJE,0.00221582096167,130.0,58669,SE-ST-NO
0191,SIGTUNA,0.00468896530166,210.0,44786,SE-ST-SI
0192,NYNÄSHAMN,0.00185454545455,51.0,27500,SE-ST-NH
0305,HÅBO,0.00212042013906,43.0,20279,SE-UP-HA
0319,ÄLVKARLEBY,0.0109760034435,102.0,9293,SE-UP-AL
0330,KNIVSTA,0.00189697077479,32.0,16869,SE-UP-KN
0331,HEBY,0.00441371193173,60.0,13594,SE-VM-HE
0360,TIERP,0.00287146542074,59.0,20547,SE-UP-TI
0380,UPPSALA,0.00377868516985,794.0,210126,SE-UP-UP
0381,ENKÖPING,0.00336571742296,141.0,41893,SE-UP-EN
0382,ÖSTHAMMAR,0.00231878681074,50.0,21563,SE-UP-OS
0428,VINGÅKER,0.0116162180275,104.0,8953,SE-SD-VI
0461,GNESTA,0.00281716593107,30.0,10649,SE-SD-GN
0480,NYKÖPING,0.00328038037669,178.0,54262,SE-SD-NY
0481,OXELÖSUND,0.0184599606871,216.0,11701,SE-SD-OX
0482,FLEN,0.0184306569343,303.0,16440,SE-SD-FL
0483,KATRINEHOLM,0.00681369912139,228.0,33462,SE-SD-KA
0484,ESKILSTUNA,0.00982707098418,1003.0,102065,SE-SD-ES
0486,STRÄNGNÄS,0.00260981760601,89.0,34102,SE-SD-ST
0488,TROSA,0.00281503560192,34.0,12078,SE-SD-TR
0509,ÖDESHÖG,0.00687547746371,36.0,5236,SE-OG-OD
0512,YDRE,0.00656096227447,24.0,3658,SE-OG-YD
0513,KINDA,0.00418580908627,41.0,9795,SE-OG-KI
0560,BOXHOLM,0.00675675675676,36.0,5328,SE-OG-BO
0561,ÅTVIDABERG,0.00640970116934,74.0,11545,SE-OG-AT
0562,FINSPÅNG,0.00608519269777,129.0,21199,SE-OG-FI
0563,VALDEMARSVIK,0.017426100426,135.0,7747,SE-OG-VV
