county,municipality,Kvotflykting,of_which_unaccompanied_minors,Ordnat,of_which_unaccompanied_minors.1,Eget,of_which_unaccompanied_minors.2,Övriga,of_which_unaccompanied_minors.3,Anhöriga,of_which_unaccompanied_minors.4,total,of_which_unaccompanied_minors.5
BLEKINGE LÄN,KARLSHAMN,0.0,0.0,26.0,6.0,150.0,4.0,4.0,2.0,65.0,0.0,245.0,12.0
,KARLSKRONA,1.0,0.0,22.0,7.0,227.0,6.0,6.0,0.0,179.0,0.0,435.0,13.0
,OLOFSTRÖM,0.0,0.0,23.0,7.0,110.0,6.0,7.0,0.0,113.0,0.0,253.0,13.0
,RONNEBY,1.0,0.0,11.0,6.0,322.0,11.0,14.0,0.0,254.0,0.0,602.0,17.0
,SÖLVESBORG,0.0,0.0,23.0,5.0,57.0,1.0,0.0,0.0,41.0,0.0,121.0,6.0
BLEKINGE LÄN,Delsumma,2.0,0.0,105.0,31.0,866.0,28.0,31.0,2.0,652.0,0.0,1656.0,61.0
DALARNAS LÄN,AVESTA,0.0,0.0,34.0,11.0,522.0,11.0,9.0,0.0,160.0,0.0,725.0,22.0
,BORLÄNGE,0.0,0.0,15.0,12.0,232.0,24.0,3.0,0.0,184.0,0.0,434.0,36.0
,FALUN,13.0,0.0,68.0,10.0,79.0,6.0,1.0,0.0,34.0,0.0,195.0,16.0
,GAGNEF,5.0,0.0,13.0,10.0,4.0,0.0,0.0,0.0,4.0,0.0,26.0,10.0
,HEDEMORA,0.0,0.0,44.0,11.0,163.0,10.0,1.0,0.0,41.0,0.0,249.0,21.0
,LEKSAND,46.0,0.0,12.0,4.0,5.0,1.0,0.0,0.0,2.0,0.0,65.0,5.0
,LUDVIKA,0.0,0.0,62.0,15.0,197.0,5.0,7.0,0.0,53.0,0.0,319.0,20.0
,MALUNG-SÄLEN,0.0,0.0,27.0,5.0,8.0,1.0,0.0,0.0,1.0,0.0,36.0,6.0
,MORA,0.0,0.0,24.0,4.0,12.0,3.0,0.0,0.0,2.0,0.0,38.0,7.0
,ORSA,26.0,0.0,12.0,10.0,6.0,0.0,0.0,0.0,3.0,0.0,47.0,10.0
,RÄTTVIK,0.0,0.0,4.0,4.0,21.0,2.0,0.0,0.0,0.0,0.0,25.0,6.0
,SMEDJEBACKEN,0.0,0.0,28.0,2.0,18.0,1.0,1.0,0.0,4.0,0.0,51.0,3.0
,SÄTER,0.0,0.0,6.0,6.0,5.0,0.0,0.0,0.0,4.0,0.0,15.0,6.0
,VANSBRO,4.0,3.0,13.0,11.0,26.0,5.0,7.0,0.0,1.0,0.0,51.0,19.0
,ÄLVDALEN,2.0,0.0,21.0,8.0,5.0,2.0,0.0,0.0,0.0,0.0,28.0,10.0
DALARNAS LÄN,Delsumma,96.0,3.0,383.0,123.0,1303.0,71.0,29.0,0.0,493.0,0.0,2304.0,197.0
GOTLANDS LÄN,GOTLAND,11.0,0.0,27.0,13.0,19.0,1.0,0.0,0.0,44.0,0.0,101.0,14.0
GOTLANDS LÄN,Delsumma,11.0,0.0,27.0,13.0,19.0,1.0,0.0,0.0,44.0,0.0,101.0,14.0
GÄVLEBORGS LÄN,BOLLNÄS,5.0,0.0,24.0,11.0,277.0,16.0,2.0,0.0,101.0,0.0,409.0,27.0
,GÄVLE,9.0,0.0,26.0,14.0,291.0,19.0,9.0,1.0,221.0,0.0,556.0,34.0
