municipality,domID
ÖDESHÖG,SE-OG-OD
ÅTVIDABERG,SE-OG-AT
BOXHOLM,SE-OG-BO
FINSPÅNG,SE-OG-FI
KINDA,SE-OG-KI
LINKÖPING,SE-OG-LI
MJÖLBY,SE-OG-MJ
MOTALA,SE-OG-MO
NORRKÖPING,SE-OG-NO
SÖDERKÖPING,SE-OG-SO
VADSTENA,SE-OG-VT
VALDEMARSVIK,SE-OG-VV
YDRE,SE-OG-YD
KARLSHAMN,SE-BL-KH
KARLSKRONA,SE-BL-KK
OLOFSTRÖM,SE-BL-OL
RONNEBY,SE-BL-RO
SÖLVESBORG,SE-BL-SO
ÄLVDALEN,SE-KO-AL
AVESTA,SE-KO-AV
BORLÄNGE,SE-KO-BO
FALUN,SE-KO-FA
GAGNEF,SE-KO-GA
HEDEMORA,SE-KO-HE
LEKSAND,SE-KO-LE
LUDVIKA,SE-KO-LU
MALUNG,SE-KO-MA
MORA,SE-KO-MO
ORSA,SE-KO-OR
RÄTTVIK,SE-KO-RA
SÄTER,SE-KO-SA
SMEDJEBACKEN,SE-KO-SM
VANSBRO,SE-KO-VA
BOLLNÄS,SE-GV-BO
GÄVLE,SE-GV-GA
HOFORS,SE-GV-HO
HUDIKSVALL,SE-GV-HU
LJUSDAL,SE-GV-LJ
NORDANSTIG,SE-GV-NO
OCKELBO,SE-GV-OC
OVANÅKER,SE-GV-OV
SÖDERHAMN,SE-GV-SO
SANDVIKEN,SE-GV-SA
GOTLAND,SE-GT-GO
FALKENBERG,SE-HA-FA
HALMSTAD,SE-HA-HA
HYLTE,SE-HA-HY
KUNGSBACKA,SE-HA-KU
LAHOLM,SE-HA-LA
VARBERG,SE-HA-VA
ÖSTERSUND,SE-JA-OS
ÅRE,SE-JA-AR
BERG,SE-JA-BE
BRÄCKE,SE-JA-BR
HÄRJEDALEN,SE-JA-HA
KROKOM,SE-JA-KR
RAGUNDA,SE-JA-RA
STRÖMSUND,SE-JA-ST
ANEBY,SE-JO-AN
EKSJÖ,SE-JO-EK
GISLAVED,SE-JO-GI
GNOSJÖ,SE-JO-GN
JÖNKÖPING,SE-JO-JO
NÄSSJÖ,SE-JO-NA
SÄVSJÖ,SE-JO-SA
TRANÅS,SE-JO-TR
VÄRNAMO,SE-JO-VR
VAGGERYD,SE-JO-VG
VETLANDA,SE-JO-VT
BORGHOLM,SE-KA-BO
EMMABODA,SE-KA-EM
HÖGSBY,SE-KA-HO
HULTSFRED,SE-KA-HU
KALMAR,SE-KA-KA
MÖNSTERÅS,SE-KA-MS
MÖRBYLÅNGA,SE-KA-ML
NYBRO,SE-KA-NY
OSKARSHAMN,SE-KA-OS
TORSÅS,SE-KA-TO
VÄSTERVIK,SE-KA-VA
VIMMERBY,SE-KA-VI
ÄLMHULT,SE-KR-AH
ALVESTA,SE-KR-AV
LESSEBO,SE-KR-LE
LJUNGBY,SE-KR-LJ
MARKARYD,SE-KR-MA
TINGSRYD,SE-KR-TI
UPPVIDINGE,SE-KR-UP
VÄXJÖ,SE-KR-VA
ÖVERKALIX,SE-NB-OK
ÖVERTORNEÅ,SE-NB-OT
ÄLVSBYN,SE-NB-AL
ARJEPLOG,SE-NB-AP
ARVIDSJAUR,SE-NB-AJ
BODEN,SE-NB-BO
GÄLLIVARE,SE-NB-GA
HAPARANDA,SE-NB-HA
JOKKMOKK,SE-NB-JO
KALIX,SE-NB-KA
KIRUNA,SE-NB-KI
LULEÅ,SE-NB-LU
PAJALA,SE-NB-PA
PITEÅ,SE-NB-PI
ÖREBRO,SE-OR-OR
ASKERSUND,SE-OR-AS
DEGERFORS,SE-OR-DE
HÄLLEFORS,SE-OR-HF
HALLSBERG,SE-OR-HB
KARLSKOGA,SE-OR-KA
KUMLA,SE-OR-KU
LAXÅ,SE-OR-LA
LEKEBERG,SE-OR-LE
LINDESBERG,SE-OR-LI
LJUSNARSBERG,SE-OR-LJ
NORA,SE-OR-NO
ESKILSTUNA,SE-SD-ES
FLEN,SE-SD-FL
GNESTA,SE-SD-GN
KATRINEHOLM,SE-SD-KA
NYKÖPING,SE-SD-NY
OXELÖSUND,SE-SD-OX
STRÄNGNÄS,SE-SD-ST
TROSA,SE-SD-TR
VINGÅKER,SE-SD-VI
ÖRKELLJUNGA,SE-SN-OR
ÖSTRA GÖINGE,SE-SN-OG
ÄNGELHOLM,SE-SN-AN
ÅSTORP,SE-SN-AS
BÅSTAD,SE-SN-BA
BJUV,SE-SN-BJ
BROMÖLLA,SE-SN-BR
BURLÖV,SE-SN-BU
ESLÖV,SE-SN-ES
HÄSSLEHOLM,SE-SN-HA
HÖÖR,SE-SN-HO
HÖGANÄS,SE-SN-HG
HÖRBY,SE-SN-HB
HELSINGBORG,SE-SN-HE
KÄVLINGE,SE-SN-KA
KLIPPAN,SE-SN-KL
KRISTIANSTAD,SE-SN-KR
LANDSKRONA,SE-SN-LA
LOMMA,SE-SN-LO
LUND,SE-SN-LU
MALMÖ,SE-SN-MA
OSBY,SE-SN-OS
PERSTORP,SE-SN-PE
SIMRISHAMN,SE-SN-SI
SJÖBO,SE-SN-SJ
SKURUP,SE-SN-SK
STAFFANSTORP,SE-SN-ST
SVALÖV,SE-SN-SL
SVEDALA,SE-SN-SD
TOMELILLA,SE-SN-TO
TRELLEBORG,SE-SN-TR
VELLINGE,SE-SN-VE
YSTAD,SE-SN-YS
ÖSTERÅKER,SE-ST-OS
BOTKYRKA,SE-ST-BO
DANDERYD,SE-ST-DA
EKERÖ,SE-ST-EK
HANINGE,SE-ST-HA
HUDDINGE,SE-ST-HU
JÄRFÄLLA,SE-ST-JA
LIDINGÖ,SE-ST-LI
NACKA,SE-ST-NA
NORRTÄLJE,SE-ST-NO
NYKVARN,SE-ST-NV
NYNÄSHAMN,SE-ST-NH
SÖDERTÄLJE,SE-ST-SD
SALEM,SE-ST-SA
SIGTUNA,SE-ST-SI
SOLLENTUNA,SE-ST-SL
SOLNA,SE-ST-SN
STOCKHOLM,SE-ST-ST
SUNDBYBERG,SE-ST-SU
TÄBY,SE-ST-TA
TYRESÖ,SE-ST-TY
UPPLANDS-BRO,SE-ST-UB
UPPLANDS-VÄSBY,SE-ST-UV
VÄRMDÖ,SE-ST-VR
VALLENTUNA,SE-ST-VL
VAXHOLM,SE-ST-VX
ÖSTHAMMAR,SE-UP-OS
ÄLVKARLEBY,SE-UP-AL
ENKÖPING,SE-UP-EN
HÅBO,SE-UP-HA
KNIVSTA,SE-UP-KN
TIERP,SE-UP-TI
UPPSALA,SE-UP-UP
ÅRJÄNG,SE-VR-AJ
ARVIKA,SE-VR-AV
EDA,SE-VR-ED
FILIPSTAD,SE-VR-FI
FORSHAGA,SE-VR-FO
GRUMS,SE-VR-GR
HAGFORS,SE-VR-HG
HAMMARÖ,SE-VR-HM
KARLSTAD,SE-VR-KA
KIL,SE-VR-KI
KRISTINEHAMN,SE-VR-KR
MUNKFORS,SE-VR-MU
SÄFFLE,SE-VR-SA
STORFORS,SE-VR-ST
SUNNE,SE-VR-SU
TORSBY,SE-VR-TO
ÅSELE,SE-VB-AS
BJURHOLM,SE-VB-BJ
DOROTEA,SE-VB-DO
LYCKSELE,SE-VB-LY
MALÅ,SE-VB-MA
NORDMALING,SE-VB-NM
NORSJÖ,SE-VB-NS
